"stock","temperature","oxygen","sex","fresh_mass","wing_area","ID_fly","cell_area","cell_number","cell_area_log","cell_number_log","wing_area_log","fresh_mass_log","cell_area_cat","cell_area_delta","fresh_mass_delta","wing_area_delta"
"25182",17,10,"male",0.807,854248.059,"20191204-DRME-P7-C4",133.142711864407,6416.0331950424,2.12431739846028,3.80726660221913,5.93158400067941,-0.0931264652779296,"small",11.0104800103506,9.7212780421482,13.2921096946392
"25182",17,10,"male",0.785,888951.323,"20191204-DRME-P7-C6",137.814385964912,6450.3521658931,2.13929455442993,3.80958342619014,5.94887798062007,-0.105130343254747,"small",14.9055845721173,6.73011556764105,17.894526932148
"25182",17,10,"male",0.782,885027.097,"20191204-DRME-P7-C7",135.438275862069,6534.54196287404,2.13174141653948,3.81521515121758,5.94695656775706,-0.106793246940152,"small",12.9244538036325,6.32222977566281,17.3740881230988
"25182",17,10,"male",0.796,878008.769,"20191204-DRME-P7-C9",142.825818181818,6147.40934221213,2.15480672060818,3.78869213278004,5.94349885338821,-0.0990869322623309,"small",19.0839694656489,8.22569680489462,16.4433032330754
"25203",25,21,"male",0.751,850935.543,"20191126-DRME-P1-C10",147.629283018868,5764.002409273,2.16917251055029,3.76072415367105,5.92989666422135,-0.124360062995832,"large",-4.1270270698384,0,-6.21193512909193
"25203",25,21,"male",0.764,1000457.817,"20191126-DRME-P1-C12",170.721673913043,5860.16874172391,2.23228866032567,3.76791012157175,6.00019878189743,-0.11690664142431,"large",10.8695652173913,1.73102529960054,10.2680495758808
"25203",25,21,"male",0.693,901397.858,"20191126-DRME-P1-C7",153.984254901961,5853.8313451197,2.18747631590931,3.76744020580891,5.95491652171822,-0.159266765388193,"large",0,-7.72303595206392,-0.650100379457785
"25203",25,21,"male",0.696,847090.004,"20191126-DRME-P1-C8",143.260618181818,5912.92997859971,2.15612682084447,3.77180273607879,5.92792955692327,-0.157390760389438,"large",-6.96411248472784,-7.32356857523303,-6.63578117026687
"25203",25,21,"male",0.775,901742.757,"20191126-DRME-P1-C9",153.418666666667,5877.65997835987,2.18587820405315,3.76920445860062,5.95508266265376,-0.11069829749369,"large",-0.367302641204592,3.19573901464714,-0.612086442853532
"25203",25,21,"male",0.772,955390.322,"20191126-DRME-P1-D1",160.269326530612,5961.15515477327,2.20485041197873,3.77533042563504,5.98018083761377,-0.112382699664264,"large",4.08163265306123,2.79627163781624,5.300818885613
"25203",25,21,"male",0.736,894162.344,"20191126-DRME-P1-D2",160.269326530612,5579.12336288011,2.20485041197873,3.74656596442628,5.95141637640502,-0.133122185662501,"large",4.08163265306123,-1.99733688415447,-1.44758129559618
"25203",25,21,"male",0.767,931957.437,"20191126-DRME-P1-D3",163.608270833333,5696.27337452505,2.21380525463166,3.75559082371145,5.96939607834311,-0.115204636051019,"large",6.25,2.13049267643142,2.71810277207005
"25203",25,21,"male",0.729,938040.212,"20191126-DRME-P1-D4",153.984254901961,6091.79303817286,2.18747631590931,3.78474514024734,5.97222145615665,-0.137272471682025,"large",0,-2.92942743009321,3.38853157362633
"25203",25,21,"male",0.757,969706.421,"20191126-DRME-P1-D7",157.58668,6153.47960246386,2.1975195060027,3.78912076533772,5.98664027134042,-0.120904120499927,"large",2.33947626679938,0.798934753661795,6.87870481687483
"25203",25,21,"male",0.694,907296.194,"20191126-DRME-P1-D9",148.173528301887,6123.20030708513,2.17077062240646,3.78697846666076,5.95774908906722,-0.158640529545145,"large",-3.77358490566038,-7.58988015978695,0
"25203",25,10,"male",0.707,848548.011,"20191126-DRME-P4-D10",137.97049122807,6150.21374097538,2.13978621055202,3.78889020925723,5.92867641980925,-0.150580586203101,"large",-10.3996111057499,-5.85885486018642,-6.47508315239333
"25203",25,10,"male",0.713,843093.841,"20191126-DRME-P4-D11",142.9876,5896.27241103424,2.15529837673027,3.77057753995887,5.92587591668914,-0.146910470148134,"large",-7.14141514595902,-5.05992010652464,-7.07622862573145
"25203",25,10,"male",0.696,819694.826,"20191126-DRME-P4-D12",148.383358490566,5524.16951832314,2.17138519662372,3.74226699715908,5.9136521937828,-0.157390760389438,"large",-3.6373176042971,-7.32356857523303,-9.65521166949809
"25203",25,10,"male",0.619,865159.778,"20191126-DRME-P4-D8",131.071966666667,6600.64695756199,2.11750981584087,3.81958650468266,5.93709632052353,-0.208309350979882,"large",-14.8796305504624,-17.5765645805592,-4.64417422652607
"25203",25,10,"male",0.632,839733.452,"20191126-DRME-P4-D9",161.030448979592,5214.74949192015,2.20690800381758,3.71723345046344,5.92414145428102,-0.199282921717615,"large",4.57591854577422,-15.8455392809587,-7.44660260307452
"25203",25,10,"male",0.626,805575.655,"20191126-DRME-P4-E1",128.595360655738,6264.42237800946,2.10922530079693,3.79688103229614,5.90610633309308,-0.20342566678957,"large",-16.487980711007,-16.6444740346205,-11.2113926711788
"25203",25,10,"male",0.709,888006.729,"20191126-DRME-P4-E3",153.810137254902,5773.3953356296,2.18698495970977,3.76143129701084,5.9484162567206,-0.149353764816933,"large",-0.113074968067139,-5.5925432756325,-2.12603834641457
"25203",25,10,"male",0.652,814532.383,"20191126-DRME-P4-E5",140.077089285714,5814.88655392177,2.1463671088015,3.76454124623792,5.91090835503942,-0.18575240426808,"large",-9.03155041734686,-13.1824234354194,-10.2242036959322
"25203",25,10,"male",0.663,856948.982,"20191126-DRME-P4-E7",142.623945454545,6008.45096010271,2.15419244631346,3.77876252088931,5.93295496720276,-0.178486471595227,"large",-7.37757860675317,-11.7177097203728,-5.54914837436208
"25203",17,21,"male",0.889,1193874.113,"20191204-DRME-P5-A1",174.318155555556,6848.822540573,2.24134262203236,3.83561591337761,6.07695853540996,-0.0510982390297863,"large",13.2051817028572,18.375499334221,31.5859276050264
"25203",17,21,"male",0.928,1212454.109,"20191204-DRME-P5-A10",148.005981132075,8191.92643247334,2.17027926620691,3.91338604347131,6.08366530967823,-0.0324520237811379,"large",-3.88239289380046,23.5685752330226,33.6337699880178
"25203",17,21,"male",0.86,1156775.052,"20191204-DRME-P5-A12",166.900361702128,6930.93196565106,2.22245727787198,3.84079163581328,6.06324891368527,-0.0655015487564323,"large",8.38793992826756,14.5139813581891,27.4969585070253
"25203",17,21,"male",0.906,1228648.598,"20191204-DRME-P5-A2",178.279931818182,6891.68200520198,2.25110245932151,3.8383252300975,6.08942768941901,-0.0428718023231869,"large",15.7780267415585,20.6391478029294,35.4186875383278
"25203",17,21,"male",0.929,1236637.83,"20191204-DRME-P5-A3",170.528630434783,7251.79007681612,2.23179730412613,3.8604452237467,6.09224252787283,-0.0319842860063582,"large",10.7441994919256,23.7017310252996,36.2992414360332
"25203",17,21,"male",0.916,1244150.699,"20191204-DRME-P5-A4",182.425976744186,6820.03035535152,2.26108668022812,3.83378630766708,6.0948729878952,-0.0381045263321496,"large",18.4705389913622,21.9707057256991,37.1272917518708
"25203",17,21,"male",0.872,1244150.699,"20191204-DRME-P5-A5",160.620918367347,7745.88211576884,2.20580210470301,3.88907088319219,6.0948729878952,-0.0594835150674328,"large",4.30996238518777,16.1118508655127,37.1272917518708
"25203",17,21,"male",0.861,1231384.914,"20191204-DRME-P5-A6",156.88634,7848.89821510273,2.19558513147168,3.89480869716766,6.09039382863935,-0.0649968485463452,"large",1.88466353257151,14.647137150466,35.7202776935709
"25203",17,21,"male",0.829,1216750.606,"20191204-DRME-P5-A7",160.088102040816,7600.5061618494,2.20435905577919,3.88084251543583,6.08520157121502,-0.0814454694497265,"large",3.96394238017501,10.3861517976032,34.1073195331843
"25203",17,21,"male",0.831,1153582.683,"20191204-DRME-P5-A8",148.005981132075,7794.16260191933,2.17027926620691,3.89176946180819,6.0620487280151,-0.080398976215889,"large",-3.88239289380046,10.6524633821571,27.1451032891691
"25203",17,21,"male",0.918,1191848.648,"20191204-DRME-P5-A9",160.088102040816,7444.95457692493,2.20435905577919,3.87186205238356,6.07622110816274,-0.0371573187987575,"large",3.96394238017501,22.237017310253,31.3626857339159
"25203",17,21,"male",0.846,1159337.827,"20191204-DRME-P5-B2",163.9095625,7073.03350285009,2.2146042910924,3.84960571521075,6.06421000630314,-0.0726296369609765,"large",6.44566394425099,12.6498002663116,27.7794213914668
"25203",17,10,"male",0.897,1129639.642,"20191204-DRME-P6-H10",156.04686,7239.10524056684,2.1932550341459,3.85968489035482,6.05293992450072,-0.0472075569559079,"large",1.33949091051708,19.4407456724367,24.5061590107365
